Mode: FUNC_078  Corner: FUNC_0.78V_SETUP
Scenario: FUNC_0.78V_SETUP
Constraint: max_capacitance

Category Summary
Category,VIOLATED
SRAM,16384
Power_Switch,88
Level_Shifter,2
BUF,5564
INV,62
mem,1116
others,464

Category,Type,Name,Required,Actual,Slack,Violation
SRAM,NET,bit_secure_14_slice_13_t_din2piso[11],0.025,15.536,-15.511,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_13_nibble_1/O1[3],0.025,15.536,-15.511,VIOLATED
SRAM,NET,bit_secure_11_slice_28_t_din2piso[3],0.025,15.509,-15.484,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_28_nibble_0/O1[3],0.025,15.509,-15.484,VIOLATED
SRAM,NET,bit_secure_11_slice_20_t_din2piso[4],0.025,15.501,-15.476,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_20_nibble_0/O2[0],0.025,15.501,-15.476,VIOLATED
SRAM,NET,bit_secure_15_slice_21_t_din2piso[14],0.025,15.498,-15.473,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_21_nibble_1/O2[2],0.025,15.498,-15.473,VIOLATED
SRAM,NET,bit_secure_15_slice_21_t_din2piso[6],0.025,15.457,-15.432,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_21_nibble_0/O2[2],0.025,15.457,-15.432,VIOLATED
SRAM,NET,bit_secure_15_slice_14_t_din2piso[0],0.025,15.456,-15.431,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_14_nibble_0/O1[0],0.025,15.456,-15.431,VIOLATED
SRAM,NET,bit_secure_6_slice_27_t_din2piso[12],0.025,15.450,-15.425,VIOLATED
SRAM,PIN,PIN: bit_secure_6_slice_27_nibble_1/O2[0],0.025,15.450,-15.425,VIOLATED
SRAM,NET,bit_secure_11_slice_30_t_din2piso[7],0.025,15.421,-15.396,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_30_nibble_0/O2[3],0.025,15.421,-15.396,VIOLATED
SRAM,NET,bit_secure_11_slice_30_t_din2piso[13],0.025,15.378,-15.353,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_30_nibble_1/O2[1],0.025,15.378,-15.353,VIOLATED
SRAM,NET,bit_secure_13_slice_31_t_din2piso[1],0.025,15.374,-15.349,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_31_nibble_0/O1[1],0.025,15.374,-15.349,VIOLATED
SRAM,NET,bit_secure_11_slice_15_t_din2piso[3],0.025,15.364,-15.339,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_15_nibble_0/O1[3],0.025,15.364,-15.339,VIOLATED
SRAM,NET,bit_secure_14_slice_28_t_din2piso[14],0.025,15.347,-15.322,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_28_nibble_1/O2[2],0.025,15.347,-15.322,VIOLATED
SRAM,NET,bit_secure_14_slice_13_t_din2piso[8],0.025,15.319,-15.294,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_13_nibble_1/O1[0],0.025,15.319,-15.294,VIOLATED
SRAM,NET,bit_secure_11_slice_4_t_din2piso[9],0.025,15.281,-15.256,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_4_nibble_1/O1[1],0.025,15.281,-15.256,VIOLATED
SRAM,NET,bit_secure_15_slice_21_t_din2piso[12],0.025,15.271,-15.246,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_21_nibble_1/O2[0],0.025,15.271,-15.246,VIOLATED
SRAM,NET,bit_secure_15_slice_21_t_din2piso[7],0.025,15.253,-15.228,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_21_nibble_0/O2[3],0.025,15.253,-15.228,VIOLATED
SRAM,NET,bit_secure_11_slice_22_t_din2piso[8],0.025,15.245,-15.220,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_22_nibble_1/O1[0],0.025,15.245,-15.220,VIOLATED
SRAM,NET,bit_secure_14_slice_28_t_din2piso[0],0.025,15.208,-15.183,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_28_nibble_0/O1[0],0.025,15.208,-15.183,VIOLATED
SRAM,NET,bit_secure_11_slice_20_t_din2piso[7],0.025,15.206,-15.181,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_20_nibble_0/O2[3],0.025,15.206,-15.181,VIOLATED
SRAM,NET,bit_secure_14_slice_13_t_din2piso[15],0.025,15.186,-15.161,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_13_nibble_1/O2[3],0.025,15.186,-15.161,VIOLATED
SRAM,NET,bit_secure_13_slice_31_t_din2piso[6],0.025,15.129,-15.104,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_31_nibble_0/O2[2],0.025,15.129,-15.104,VIOLATED
SRAM,NET,bit_secure_11_slice_23_t_din2piso[10],0.025,15.117,-15.092,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_23_nibble_1/O1[2],0.025,15.117,-15.092,VIOLATED
SRAM,NET,bit_secure_13_slice_6_t_din2piso[9],0.025,15.061,-15.036,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_6_nibble_1/O1[1],0.025,15.061,-15.036,VIOLATED
SRAM,NET,bit_secure_15_slice_21_t_din2piso[15],0.025,14.967,-14.942,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_21_nibble_1/O2[3],0.025,14.967,-14.942,VIOLATED
SRAM,NET,bit_secure_11_slice_7_t_din2piso[11],0.025,14.963,-14.938,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_7_nibble_1/O1[3],0.025,14.963,-14.938,VIOLATED
SRAM,NET,bit_secure_13_slice_6_t_din2piso[14],0.025,14.941,-14.916,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_6_nibble_1/O2[2],0.025,14.941,-14.916,VIOLATED
SRAM,NET,bit_secure_11_slice_15_t_din2piso[5],0.025,14.853,-14.828,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_15_nibble_0/O2[1],0.025,14.853,-14.828,VIOLATED
SRAM,NET,bit_secure_11_slice_23_t_din2piso[11],0.025,14.837,-14.812,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_23_nibble_1/O1[3],0.025,14.837,-14.812,VIOLATED
SRAM,NET,bit_secure_14_slice_28_t_din2piso[3],0.025,14.766,-14.741,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_28_nibble_0/O1[3],0.025,14.766,-14.741,VIOLATED
SRAM,NET,bit_secure_15_slice_28_t_din2piso[11],0.025,14.754,-14.729,VIOLATED
